bin_id,date,fullness_today,is_holiday_today,pickup_today
BIN_A03,2024-01-01,28.45,0,0
BIN_A03,2024-01-02,57.71,0,0
BIN_A03,2024-01-03,87.72,0,1
BIN_A03,2024-01-04,35.39,0,0
BIN_A03,2024-01-05,67.14,0,0
BIN_A03,2024-01-06,98.33,0,1
BIN_A03,2024-01-07,46.07,1,0
BIN_A03,2024-01-08,75.86,0,0
BIN_A03,2024-01-09,100.0,0,1
BIN_A03,2024-01-10,31.67,0,0
BIN_A03,2024-01-11,75.07,1,0
BIN_A03,2024-01-12,100.0,0,1
BIN_A03,2024-01-13,35.1,0,0
BIN_A03,2024-01-14,68.21,0,0
BIN_A03,2024-01-15,96.78,0,1
BIN_A03,2024-01-16,29.31,0,0
BIN_A03,2024-01-17,58.7,0,0
BIN_A03,2024-01-18,86.78,0,1
BIN_A03,2024-01-19,35.74,0,0
BIN_A03,2024-01-20,69.62,0,0
BIN_A03,2024-01-21,100.0,0,1
BIN_A03,2024-01-22,32.53,0,0
BIN_A03,2024-01-23,61.53,0,0
BIN_A03,2024-01-24,100.0,1,1
BIN_A03,2024-01-25,33.3,0,0
BIN_A03,2024-01-26,64.33,0,0
BIN_A03,2024-01-27,95.26,0,1
BIN_A03,2024-01-28,34.01,0,0
BIN_A03,2024-01-29,64.91,0,0
BIN_A03,2024-01-30,94.37,0,1
BIN_A03,2024-01-31,32.57,0,0
BIN_A03,2024-02-01,63.55,0,0
BIN_A03,2024-02-02,97.34,0,1
BIN_A03,2024-02-03,36.69,0,0
BIN_A03,2024-02-04,68.73,0,0
BIN_A03,2024-02-05,97.91,0,1
BIN_A03,2024-02-06,31.1,0,0
BIN_A03,2024-02-07,60.37,0,0
BIN_A03,2024-02-08,88.42,0,1
BIN_A03,2024-02-09,36.34,0,0
BIN_A03,2024-02-10,69.63,0,0
BIN_A03,2024-02-11,100.0,0,1
BIN_A03,2024-02-12,35.8,0,0
BIN_A03,2024-02-13,65.63,0,0
BIN_A03,2024-02-14,94.86,0,1
BIN_A03,2024-02-15,42.87,1,0
BIN_A03,2024-02-16,75.5,0,0
BIN_A03,2024-02-17,100.0,0,1
BIN_A03,2024-02-18,35.33,0,0
BIN_A03,2024-02-19,65.0,0,0
BIN_A03,2024-02-20,95.78,0,1
BIN_A03,2024-02-21,30.75,0,0
BIN_A03,2024-02-22,61.69,0,0
BIN_A03,2024-02-23,92.95,0,1
BIN_A03,2024-02-24,36.39,0,0
BIN_A03,2024-02-25,70.37,0,0
BIN_A03,2024-02-26,98.46,0,1
BIN_A03,2024-02-27,28.55,0,0
BIN_A03,2024-02-28,57.4,0,0
BIN_A03,2024-02-29,97.01,1,1
BIN_A03,2024-03-01,35.2,0,0
BIN_A03,2024-03-02,66.28,0,0
BIN_A03,2024-03-03,97.85,0,1
BIN_A03,2024-03-04,30.05,0,0
BIN_A03,2024-03-05,59.18,0,0
BIN_A03,2024-03-06,89.5,0,1
BIN_A03,2024-03-07,34.7,0,0
BIN_A03,2024-03-08,68.33,0,0
BIN_A03,2024-03-09,99.26,0,1
BIN_A03,2024-03-10,36.17,0,0
BIN_A03,2024-03-11,66.82,0,0
BIN_A03,2024-03-12,95.86,0,1
BIN_A03,2024-03-13,33.95,0,0
BIN_A03,2024-03-14,63.89,0,0
BIN_A03,2024-03-15,95.49,0,1
BIN_A03,2024-03-16,38.04,0,0
BIN_A03,2024-03-17,71.8,0,0
BIN_A03,2024-03-18,100.0,0,1
BIN_A03,2024-03-19,30.85,0,0
BIN_A03,2024-03-20,59.61,0,0
BIN_A03,2024-03-21,88.78,0,1
BIN_A03,2024-03-22,34.54,0,0
BIN_A03,2024-03-23,66.4,0,0
